"rank_population","country_en","iso3","leader_name_en","office_title","leader_verdict","salary_verdict","salary_usd_monthly_display","salary_confidence","fact_check_note","primary_sources","head_of_state_recheck_status","head_of_state_recheck_source"
"59","Taiwan","TWN","Lai Ching-te","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$15,000","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"60","Mali","MLI","Assimi Goïta","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$5,742","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"61","Sri Lanka","LKA","Anura Kumara Dissanayake","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$615","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"62","Malawi","MWI","Peter Mutharika","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$6,192","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"63","Kazakhstan","KAZ","Qasym-Zhomart Toqaev","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$1,700","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"64","Chile","CHL","José Antonio Kast","Head of state / president where applicable","OK","OK_HIGHER_CONFIDENCE","$10,925","high","","https://cdn.hacienda.cl/ | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"65","Zambia","ZMB","Hakainde Hichilema","Head of state / president where applicable","OK","FILLED_PRODUCTION_ESTIMATE","$1,900","estimated","FACTCHECK: Reports conflict: salary reported but government later said president does not receive state salary. | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"66","Somalia","SOM","Hassan Sheikh Mohamud","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$10,000","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"67","Chad","TCD","Mahamat Déby","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$1,387","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"68","Senegal","SEN","Bassirou Diomaye Faye","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$1,268","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"69","Romania","ROU","Nicușor Dan","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$5,108","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"70","Ecuador","ECU","Daniel Noboa","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$6,261","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"71","Guatemala","GTM","Bernardo Arévalo de León","Head of state / president where applicable","OK","OK_APPROXIMATE","$12,950","medium","","https://agn.gt/presidente-anuncia-que-a-partir-de-junio-entra-en-vigor-la-reduccion-del-25-de-su-salario/ | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"72","Cambodia","KHM","Norodom Sihamoni","Monarch / head of state; no president","OK","FILLED_PRODUCTION_ESTIMATE","$2,500","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"73","Zimbabwe","ZWE","Emmerson Mnangagwa","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$12,216","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"74","Guinea","GIN","Mamady Doumbouya","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$1,866","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"75","South Sudan","SSD","Salva Kiir Mayardit","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$5,000","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"76","Rwanda","RWA","Paul Kagame","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$7,083","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"77","Benin","BEN","Romuald Wadagni","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$2,484","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"78","Burundi","BDI","Évariste Ndayishimiye","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$3,942","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"79","Tunisia","TUN","Kais Saied","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$1,392","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"80","Jordan","JOR","Abdullah II of Jordan","Monarch / head of state; no president","OK","FILLED_PRODUCTION_ESTIMATE","$70,621","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"81","Belgium","BEL","Philippe of Belgium","Monarch / head of state; no president","OK","FILLED_PRODUCTION_ESTIMATE","$90,000","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"82","Haiti","HTI","Alix Didier Fils-Aime","Acting prime minister / sole executive; presidency vacant","SPECIAL_OFFICE","FILLED_PRODUCTION_ESTIMATE","$8,000","estimated","FACTCHECK: Transitional Presidential Council mandate ended 2026-02-07; no elected president | FACTCHECK: No current elected president; presidency vacant / executive authority by PM. | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","CONFIRMED_TRANSITION_EXCEPTION","Wikidata/CIA lag on TPC; AP/Al Jazeera/UN reporting confirms TPC ended 2026-02-07 and Alix Didier Fils-Aime leads executive authority."
"83","Bolivia","BOL","Rodrigo Paz Pereira","President","FIXED","REVIEW_APPROXIMATE","$3,327","medium","FACTCHECK: Name spelling corrected from Perota to Pereira | FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","CONFIRMED_NAME_EXCEPTION","Wikidata label/source typo showed Perota; CIA and official Bolivia presidency confirm Rodrigo Paz Pereira."
"84","United Arab Emirates","ARE","Mohammed Bin Zayed Al Nahyan","President of the United Arab Emirates / head of state","OK","FILLED_PRODUCTION_ESTIMATE","$100,000","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"85","Czech Republic","CZE","Petr Pavel","Head of state / president where applicable","OK","OK_APPROXIMATE","$16,583","medium","","https://praguemorning.cz/czech-politicians-salaries-2026/ | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"86","Dominican Republic","DOM","Luis Abinader","President","FIXED","OK_APPROXIMATE","$10,000","medium","FACTCHECK: Name spelling corrected from Arruinader to Abinader","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","CONFIRMED_NAME_EXCEPTION","Wikidata label/source typo showed Arruinader; CIA confirms Luis Abinader."
"87","Portugal","PRT","António José Seguro","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$8,039","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"88","Tajikistan","TJK","Emomali Rahmon","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$1,100","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"89","Sweden","SWE","Carl XVI Gustaf of Sweden","Monarch / head of state; no president","OK","FILLED_PRODUCTION_ESTIMATE","$16,000","estimated","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"90","Greece","GRC","Konstantinos Tasoulas","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$12,895","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"91","Azerbaijan","AZE","Ilham Aliyev","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$9,167","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"92","Israel","ISR","Isaac Herzog","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$14,417","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"93","Papua New Guinea","PNG","Bob Dadae","Governor-General of Papua New Guinea / representative of the monarch","FIXED_REPRESENTATIVE_FOR_SALARY_BASIS","FILLED_PRODUCTION_ESTIMATE","$4,687","estimated","FACTCHECK 2026-06-09: Charles III is formal monarch, but salary_basis uses governor-general equivalent. Replaced display person/photo with Bob Dadae, listed by CIA as Governor Gen. in 2026.","https://www.cia.gov/resources/world-leaders/foreign-governments/papua-new-guinea","FIXED_COMMONWEALTH_REPRESENTATIVE_METHODOLOGY","CIA World Leaders Papua New Guinea page, last updated 2026-04-10."
"94","Honduras","HND","Nasry Asfura","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$4,159","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","CONFIRMED_LABEL_EXCEPTION","Wikidata P35 label returned as QID, but CIA World Leaders/AP/EFE confirm Nasry Asfura."
"95","Cuba","CUB","Miguel Díaz-Canel","Head of state / president where applicable","OK","FILLED_PRODUCTION_ESTIMATE","$500","estimated","FACTCHECK: Previous source was very weak net-worth style source; no official salary found. | PRODUCTION_FILL: no unknown value left; realistic estimate for video display, not fully verified official payroll","https://www.cinenetworth.com/miguel-diaz-canel-net-worth/ | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"96","Hungary","HUN","Tamás Sulyok","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$20,900","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"97","Austria","AUT","Alexander Van der Bellen","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$31,556","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"98","Switzerland","CHE","Guy Parmelin","President of the Swiss Confederation 2026; Federal Council is collective head of state","FIXED","OK_HIGHER_CONFIDENCE","$50,333","high","FACTCHECK: Use 2026 rotating president for a portrait; Federal Council remains collective head of state","https://www.admin.ch/fr/conseil-federal-revenu-voiture-voyages | https://www.cia.gov/resources/world-leaders/","CONFIRMED_COLLECTIVE_HEAD_EXCEPTION","Wikidata P35 is Swiss Federal Council; official admin.ch confirms Guy Parmelin as 2026 rotating President of the Confederation."
"99","Sierra Leone","SLE","Julius Maada Bio","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$1,018","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"100","Belarus","BLR","Alexander Lukashenka","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$2,800","low","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
